地区ID,地区_中文,地区_英文,人口_manpower,地区类型,地区建筑槽,本地补给,不可通行,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,省份数,省份ID列表,胜利点城市数,胜利点合计,胜利点列表,资源,地区建筑,省份建筑,核心TAG,宣称TAG,其他历史字段,日期历史,来源州文件
52,上巴伐利亚,Oberbayern,2679413,city,6,8.0,no,GER,德意志帝国,German Empire,,12,692 707 708 3688 3705 6540 6693 9652 9666 11620 11638 11653,2,23,692:慕尼黑(20); 708:奥格斯堡(3),"{""aluminium"": 18}","{""air_base"": 6, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 4}",,GER;BAY,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 10}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\52-Wuttemberg.txt
53,下巴伐利亚,Niederbayern,1453365,city,6,7.0,no,GER,德意志帝国,German Empire,,10,532 571 586 3299 3541 3571 6725 9515 9681 11497,1,3,9515:雷根斯堡(3),,"{""industrial_complex"": 1, ""infrastructure"": 3}",,GER;BAY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\53-Oberbayern.txt
54,弗兰肯,Franken,2508159,city,6,0.0,no,GER,德意志帝国,German Empire,,12,561 3474 6421 6594 9416 9557 9572 11404 11417 11529 11544 13116,3,14,11544:纽伦堡(10); 6421:科堡(2); 9557:维尔茨堡(2),"{""coal"": 8}","{""industrial_complex"": 2, ""infrastructure"": 4}",,GER;BAY,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\54-Bayreuth.txt
55,黑森,Hessen,3798235,large_city,8,15.0,no,GER,德意志帝国,German Empire,,14,564 589 3397 3524 3574 6444 6488 6549 9486 9524 9547 11445 11533 11560,4,27,6488:法兰克福(20); 564:卡塞尔(3); 6444:威斯巴登(2); 11560:美因茨(2),"{""coal"": 8}","{""arms_factory"": 1, ""industrial_complex"": 2, ""infrastructure"": 4}","{""11533"": {""dam"": 1}}",GER;HES;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 3, ""arms_factory"": 4, ""industrial_complex"": 4}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\55-Nassau.txt
56,威悉-埃姆斯,Weser-Ems,2058467,city,6,14.0,no,GER,德意志帝国,German Empire,,10,241 247 309 336 3234 9281 11233 11264 11360 11388,3,11,241:威廉港(5); 11360:埃姆登(1); 11388:明斯特(5),,"{""air_base"": 3, ""dockyard"": 2, ""fuel_silo"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}","{""241"": {""naval_base"": 8, ""naval_headquarters"": {""allowed"": {""has_dlc"": ""No Compromise, No Surrender""}, ""level"": 1}}}",GER;HAN;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {""241"": {""naval_facility"": 1}}, ""state_buildings"": {""dockyard"": 3, ""industrial_complex"": 4}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\56-Weser-Ems.txt
57,威斯特法伦,Westfalen,5109333,large_city,8,0.0,no,GER,德意志帝国,German Empire,,10,405 495 3355 3398 6535 6622 9443 9509 11346 11431,1,5,495:多特蒙德(5),,"{""air_base"": 3, ""arms_factory"": 3, ""industrial_complex"": 1, ""infrastructure"": 4}","{""11431"": {""dam"": 1}}",GER;HAN;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 6, ""industrial_complex"": 3, ""radar_station"": 1}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\57-Westfalen.txt
58,荷尔斯泰因,Holstein,3095630,large_city,8,0.0,no,GER,德意志帝国,German Empire,,6,3368 6257 6389 9320 9347 11331,2,30,6389:基尔(10); 9347:汉堡(20),,"{""air_base"": 5, ""arms_factory"": 1, ""dockyard"": 6, ""infrastructure"": 3}","{""6389"": {""naval_base"": 8}}",GER;SHL;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""anti_air_building"": 5, ""arms_factory"": 3, ""dockyard"": 7, ""synthetic_refinery"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\58-Schleswig - Holstein.txt
59,汉诺威,Hannover,2438286,large_city,8,0.0,no,GER,德意志帝国,German Empire,,18,374 526 3271 3326 3395 6218 6263 6298 6325 6349 6377 6513 9238 9264 9375 11402 11468 11493,4,18,3326:不来梅(5); 374:库克斯港(2); 6298:吕讷堡(1); 6377:汉诺威(10),"{""oil"": 2}","{""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 1, ""infrastructure"": 4}","{""374"": {""naval_base"": 1}, ""6325"": {""naval_base"": 1}}",GER;HAN;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 6, ""arms_factory"": 4, ""dockyard"": 3, ""industrial_complex"": 5}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\59-Ost - Hannover.txt
60,图林根,Thüringen,3005214,large_city,8,0.0,no,GER,德意志帝国,German Empire,,9,425 482 538 3500 3561 6501 6524 6582 9497,3,8,3561:埃尔福特(5); 425:魏玛(1); 538:耶拿(2),"{""chromium"": 3, ""coal"": 8, ""steel"": 9, ""tungsten"": 3}","{""industrial_complex"": 1, ""infrastructure"": 3}",,GER;THU,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 2, ""industrial_complex"": 2, ""synthetic_refinery"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\60-Sud-Hannover.txt
61,梅克伦堡,Mecklenburg,836353,town,4,3.0,no,GER,德意志帝国,German Empire,,6,268 293 321 9294 11276 11305,2,8,321:罗斯托克(5); 11305:吕贝克(3),,"{""air_base"": 3, ""arms_factory"": 3, ""infrastructure"": 3}","{""321"": {""naval_base"": 6}}",GER;MEK,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\61-Mecklenburg.txt
62,前波美拉尼亚,Vorpommern,1006221,town,4,3.0,no,GER,德意志帝国,German Empire,,7,349 3207 3258 3312 3340 9388 13257,2,2,9388:施特拉尔松德(1); 3258:新施特雷利茨(1),,"{""fuel_silo"": 1, ""infrastructure"": 3}",,GER;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {""9388"": {""air_facility"": 1}}, ""state_buildings"": {""air_base"": 8}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\62-Pommern.txt
63,后波美拉尼亚,Hinterpommern,1124417,town,4,7.0,no,GER,德意志帝国,German Empire,,14,6282 6309 6334 6390 9252 9277 9306 9334 9361 11260 11288 11316 11343 11372,2,8,6282:斯德丁(5); 11372:克斯林(3),"{""aluminium"": 6, ""steel"": 7}","{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}","{""11372"": {""naval_base"": 1}, ""6282"": {""naval_base"": 4}}",GER;KSH;PRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\63-WestPrussen.txt
64,勃兰登堡,Brandenburg,7265029,megalopolis,12,0.0,no,GER,德意志帝国,German Empire,,16,375 478 3367 3499 3522 6487 6521 9428 9456 9496 9560 11219 11359 11415 11444 11505,3,56,6521:柏林(50); 3522:马格德堡(5); 9496:塞洛(1),,"{""air_base"": 6, ""anti_air_building"": 2, ""arms_factory"": 5, ""industrial_complex"": 4, ""infrastructure"": 4}","{""3499"": {""land_facility"": 1}, ""6521"": {""landmark_berlin_reichstag"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}}",GER;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 10, ""anti_air_building"": 5, ""arms_factory"": 10, ""industrial_complex"": 7}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\64-Brandenburg.txt
65,萨克森,Sachsen,5592576,metropolis,10,0.0,no,GER,德意志帝国,German Empire,,11,514 573 3514 3535 6441 6559 9441 9471 9535 11481 11545,3,12,514:德累斯顿(5); 3535:莱比锡(5); 9471:开姆尼茨(2),"{""coal"": 13, ""steel"": 41}","{""arms_factory"": 2, ""industrial_complex"": 7, ""infrastructure"": 4}",,GER;SAX,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 5, ""industrial_complex"": 10, ""synthetic_refinery"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\65-Sachsen.txt
66,下西里西亚,Lower Silesia,3052726,large_city,8,10.0,no,GER,德意志帝国,German Empire,,12,552 3283 3438 3485 3510 3545 6462 6534 6595 9470 9570 11517,2,11,9570:布雷斯劳(10); 552:利格尼茨(1),"{""aluminium"": 16, ""coal"": 12, ""steel"": 10}","{""air_base"": 6, ""industrial_complex"": 1, ""infrastructure"": 3}",,GER;SIL;PRE,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 10, ""arms_factory"": 3, ""industrial_complex"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\66-Niederschlesien.txt
67,上西里西亚,Upper Silesia,1402591,city,6,4.0,no,GER,德意志帝国,German Empire,,5,479 6512 9457 9511 11467,2,8,11467:格莱维茨(5); 9511:奥珀伦(3),"{""aluminium"": 6, ""coal"": 25, ""steel"": 8}","{""infrastructure"": 3}",,GER;SIL;PRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\67-Oberschlesien.txt
68,奥斯特马克,Ostmark,1250840,city,6,0.0,no,GER,德意志帝国,German Empire,,7,444 537 3473 3572 6236 9387 11478,1,1,3473:屈斯特林(1),"{""aluminium"": 15}","{""industrial_complex"": 1, ""infrastructure"": 3}",,GER;PRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\68-Wartheland.txt
69,北苏台德,North Sudetenland,2476250,town,4,0.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,9,424 469 3418 3585 6470 9555 11401 11414 11432,3,7,3585:卡尔斯巴德(3); 11432:奥西格(1); 11401:利贝雷茨(3),"{""steel"": 4}","{""anti_air_building"": 1, ""industrial_complex"": 2, ""infrastructure"": 4}","{""11432"": {""bunker"": 1}, ""3585"": {""bunker"": 1}, ""424"": {""bunker"": 1}, ""469"": {""bunker"": 1}, ""6470"": {""bunker"": 1}, ""9555"": {""bunker"": 1}}",CZE,,,"{""1938.9.30"": {""claims"": [], ""controller"": ""GER"", ""cores"": [""GER""], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\69-Sudatenland.txt
70,西斯洛伐克,Western Slovakia,1230500,city,6,3.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,7,541 3484 3537 9539 9692 11522 11539,3,17,9692:布拉迪斯拉发(10); 11539:日利纳(5); 541:尼特拉(2),"{""tungsten"": 1}","{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 3, ""infrastructure"": 3}",,CZE;SLO,,,"{""1939.3.14"": {""claims"": [], ""controller"": ""SLO"", ""cores"": [], ""other_keys"": [], ""owner"": ""SLO"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\70-Slovakia.txt
71,东斯洛伐克,Eastern Slovakia,1197800,rural,2,0.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,7,555 581 3550 3581 6586 6604 11554,1,3,3581:普雷绍夫(3),"{""coal"": 2}","{""industrial_complex"": 2, ""infrastructure"": 2}",,CZE;SLO,,,"{""1939.3.14"": {""claims"": [], ""controller"": ""SLO"", ""cores"": [], ""other_keys"": [], ""owner"": ""SLO"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\71-East Slovakia.txt
72,扎奥尔杰,Trans-Olza,152000,rural,2,1.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,2,9551 9567,0,0,,"{""coal"": 7}","{""industrial_complex"": 1, ""infrastructure"": 3}",,CZE,,,"{""1939.3.14"": {""claims"": [], ""controller"": ""POL"", ""cores"": [], ""other_keys"": [], ""owner"": ""POL"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\72-Zaolzie.txt
73,喀尔巴阡鲁塞尼亚,Carpathian Ruthenia,854300,rural,2,0.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,5,3548 6571 9563 11536 11691,3,4,3548:穆卡切沃(1); 6571:亚西尼亚(1); 11691:乌日霍罗德(2),,"{""infrastructure"": 3}",,CZE;SLO;UKR,,IF,"{""1939.3.14"": {""claims"": [], ""controller"": ""HUN"", ""cores"": [""HUN""], ""other_keys"": [""remove_claim_by""], ""owner"": ""HUN"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\73-Carpathian Ruthenia.txt
74,苏台德西里西亚,Sudeten Silesia,820000,rural,2,2.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,4,421 3414 3583 6485,2,7,3583:俄斯特拉发(5); 3414:奥帕瓦(2),"{""coal"": 12}","{""arms_factory"": 1, ""infrastructure"": 4}",,CZE,,,"{""1938.9.30"": {""claims"": [], ""controller"": ""GER"", ""cores"": [""GER""], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\74-East Sudatenland.txt
75,摩拉维亚,Moravia,2598400,city,6,3.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,7,569 3553 3569 6562 6576 6590 11511,2,25,3569:布尔诺(20); 6562:奥尔米茨(5),"{""oil"": 2, ""steel"": 4}","{""air_base"": 5, ""industrial_complex"": 4, ""infrastructure"": 4}",,CZE,,,"{""1939.3.14"": {""claims"": [], ""controller"": ""GER"", ""cores"": [], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\75-Moravia.txt
76,北特兰西瓦尼亚,North Transylvania,2352700,town,4,9.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,17,711 713 727 746 3689 3696 3709 6711 6714 6731 9668 9670 9672 9685 9687 9704 11676,3,8,6711:克卢日(5); 9672:特尔古穆列什(2); 9670:得达(1),,"{""industrial_complex"": 1, ""infrastructure"": 2}",,ROM;TRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\76-Northern Transylvania.txt
77,多布罗加,Dobrudja,378000,rural,2,1.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,2,9614 11597,1,1,11597:多布里奇(1),,"{""industrial_complex"": 2, ""infrastructure"": 3}",,ROM,BUL,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\77-Dobrogea.txt
78,比萨拉比亚,Bessarabia,2296800,town,4,4.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,10,414 565 3407 3577 3707 3724 6600 9683 11686 11705,1,1,3707:基希讷乌(1),,"{""air_base"": 2, ""infrastructure"": 2}",,MOL;ROM,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\78-Bessarabia.txt
79,摩尔多瓦,Moldova,2806400,rural,2,7.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,16,723 744 3728 3741 6584 6706 6729 6747 6761 9701 9716 11534 11652 11655 11672 11689,2,2,9716:雅西(1); 6706:加拉茨(1),"{""coal"": 1}","{""air_base"": 2, ""industrial_complex"": 1, ""infrastructure"": 3}",,ROM,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\79-moldovia.txt
80,布科维纳,Bucovina,474600,rural,2,0.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,2,577 9548,1,1,577:切尔诺夫策(1),"{""coal"": 1}","{""arms_factory"": 1, ""infrastructure"": 3}",,ROM;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\80-Bocovina.txt
81,奥尔特尼亚,Oltenia,1519300,rural,2,0.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,8,637 3630 3645 6652 6667 11588 11605 11657,1,1,6652:克拉约瓦(1),,"{""industrial_complex"": 2, ""infrastructure"": 3}",,ROM,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\81-Oltenia.txt
82,巴纳特,Banat,941500,rural,2,11.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,6,646 662 3649 9606 11592 11608,1,3,9606:蒂米什瓦拉(3),"{""aluminium"": 4}","{""industrial_complex"": 2, ""infrastructure"": 3}",,ROM;TRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\82-Banat.txt
83,克里沙那,Crisana,632900,town,4,0.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,4,696 6682 6697 9640,1,1,6682:阿拉德(1),,"{""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}",,ROM;TRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\83-crisana.txt
84,特兰西瓦尼亚,Transylvania,1622300,town,4,0.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,11,676 690 693 3665 3676 3694 6679 6709 9619 11622 11639,1,1,690:布拉索夫(1),"{""coal"": 3, ""steel"": 3}","{""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}",,ROM;TRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\84-Transylvania.txt
85,但泽,Danzig,366730,city,6,0.0,no,POL,波兰,Poland,,1,362,1,10,362:但泽(10),,"{""arms_factory"": 2, ""dockyard"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}","{""362"": {""naval_base"": 5}}",POL;DNZ;KSH,PRE,set_demilitarized_zone,"{""1938.3.12"": {""claims"": [""GER""], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\85-Danzig.txt
86,波兹南,Poznan,2106500,city,6,0.0,no,POL,波兰,Poland,,9,17 388 3381 3460 3532 6558 9532 11232 11558,1,10,6558:波兹南(10),,"{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}","{""11232"": {""bunker"": 1}, ""3381"": {""bunker"": 1}, ""9532"": {""bunker"": 1}}",POL,PRE,,"{""1938.3.12"": {""claims"": [""GER""], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\86-Poznan.txt
87,罗兹,Łódz,2632000,town,4,0.0,no,POL,波兰,Poland,,7,493 584 9439 9508 9546 11428 11515,1,10,9508:罗兹(10),,"{""industrial_complex"": 2, ""infrastructure"": 3}",,POL,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\87-Lodz.txt
88,克拉科夫,Kraków,3692800,large_city,8,12.0,no,POL,波兰,Poland,,14,417 442 466 3410 3434 6499 6522 9412 9427 9494 11398 11413 11507 13205,3,24,9427:克拉科夫(20); 442:塔尔努夫(3); 9494:扎莫希奇(1),"{""oil"": 3.0, ""steel"": 5.0}","{""air_base"": 4, ""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}",,POL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\88-Kielce.txt
89,斯坦尼斯瓦沃夫,Stanisławów,2180300,town,4,0.0,no,POL,波兰,Poland,,7,3743 6431 6460 6483 9425 11411 11550,1,1,11411:11411(1),,"{""air_base"": 3, ""infrastructure"": 3}",,POL;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\89-Krakow.txt
90,凯尔采,Kielce,1835700,town,4,0.0,no,POL,波兰,Poland,,7,562 3458 3497 3586 6416 11430 11532,2,10,11430:凯尔采(5); 3458:拉多姆(5),"{""steel"": 8}","{""infrastructure"": 3}",,POL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\90-Lwow.txt
91,利沃夫,Lwów,3227800,city,6,0.0,no,POL,波兰,Poland,,10,438 491 536 3483 3562 9454 9468 9558 11427 11479,1,3,11479:利沃夫(3),,"{""air_base"": 5, ""industrial_complex"": 3, ""infrastructure"": 3}",,POL;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\91-Tarnopol.txt
92,卢布林,Lublin,2464600,town,4,9.0,no,POL,波兰,Poland,,9,3521 3559 6484 6580 9452 9521 9544 11399 11466,1,1,11399:卢布林(1),"{""coal"": 2}","{""air_base"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}",,POL,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""air_base"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\92-Lublin.txt
93,沃伦,Wołyn,1985600,town,4,0.0,no,POL,波兰,Poland,,10,422 474 513 572 3412 6435 6520 6557 11441 11543,2,4,6557:罗夫诺(1); 422:科韦利(3),,"{""infrastructure"": 3}",,POL;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\93-Volhynian.txt
